Trade ID,Trade Type,Instrument Type,Trade Value,Trade Volume,Counterparty ID,Counterparty Risk Score,Counterparty Failures,Settlement Status,Settlement Failure Reason,Settlement Duration,Market Volatility,Liquidity,Processing Time,Manual Intervention,Time to Settle,Counterparty Failure Rate,Currency,Settlement Type,Client ID,ISIN,Trade Matched or Not,Expected Settlement Date,Actual Settlement Date,Days Difference
T00001,Buy,Bond,1023379.6952901767,4347,CP468,0.43677295178196207,5,Success,,73.25657115503496,0.3327841847077067,0.08673397318515602,57,0,77.25657115503496,0.05,JPY,FoP,CL282,INE000034J,Matched,2024-06-19,2024-06-19,0
T00002,Buy,Derivative,1864499.6297072514,1605,CP110,0.3609867522315626,2,Success,,40.75273332306762,0.1565901193333326,0.09444540099493269,27,1,35.75273332306762,0.02,USD,AoP,CL197,INE0000011,Matched,2024-09-06,2024-09-06,0
T00003,Sell,Equity,233403.01921761018,8060,CP341,0.3099185953235817,5,Success,,55.425545458946914,0.2812907544572829,0.06979459896985432,1,0,59.425545458946914,0.05,JPY,AoP,CL69,INE000047D,Matched,2024-03-12,2024-03-12,0
T00004,Buy,Equity,217626.8828684749,2927,CP310,0.30522686758247186,4,Success,,36.58359456914159,0.30485859380870634,0.021324284880925894,38,0,38.58359456914159,0.04,GBP,FoP,CL79,INE000031H,Matched,2024-09-22,2024-09-22,0
T00005,Sell,Derivative,862798.3726967819,7529,CP474,0.4546085256499377,1,Success,,51.07759474092003,0.2560915008183411,0.010442529222783974,6,0,47.07759474092003,0.01,JPY,AoP,CL267,INE000011B,Matched,2024-07-06,2024-07-06,0
T00006,Sell,Equity,135437.07546222713,5297,CP332,0.6487633020841523,7,Success,,33.12316156785506,0.293076313156182,0.03467852614576622,32,0,34.12316156785506,0.07,EUR,AoP,CL177,INE000024I,Matched,2024-02-06,2024-02-06,0
T00007,Buy,Derivative,313330.14114706044,9840,CP443,0.04412276719399055,2,Success,,36.79744165716826,0.437165991916895,0.04941343457847428,41,0,32.79744165716826,0.02,GBP,AoP,CL15,INE000040J,Matched,2024-08-10,2024-08-10,0
T00008,Sell,Bond,58400.424437434674,6495,CP375,0.23757484202283252,3,Success,,47.188404601895556,0.46197380302497304,0.07707523727263998,31,1,47.188404601895556,0.03,INR,AoP,CL50,INE000028A,Matched,2024-09-25,2024-09-25,0
T00009,Sell,Bond,928443.9372153027,8884,CP60,0.14255092096580035,3,Success,,44.563763228901806,0.32003507892629235,0.09044669455636485,22,1,41.563763228901806,0.03,GBP,AoP,CL150,INE000033Y,Matched,2024-08-01,2024-08-01,0
T00010,Sell,Bond,511249.38714465604,696,CP247,0.8214064059961119,4,Fail,Client Instruction Missing,57.95042482047199,0.2704909370274823,0.07369287431232655,42,1,54.95042482047199,0.04,JPY,FoP,CL194,INE000036A,Matched,2024-02-01,2024-02-05,4
T00011,Sell,Equity,1822876.7443145069,5253,CP143,0.38964342904869587,7,Success,,38.75059928277017,0.23737811105535056,0.01593407436822094,6,0,36.75059928277017,0.07,INR,AoP,CL243,INE0000434,Matched,2024-09-09,2024-09-09,0
T00012,Buy,Bond,527015.0139409644,6400,CP300,0.9508821350946478,4,Fail,Insufficient Funds at the Counterparty,56.78736537995262,0.10766513315436824,0.025307456422740474,17,0,51.78736537995262,0.04,EUR,FoP,CL73,INE000034J,Matched,2024-12-29,2025-01-01,3
T00013,Buy,Bond,218586.43877701784,8936,CP434,0.21773334696221136,4,Success,,44.13656256656007,0.13552791185177615,0.010225142738310877,51,0,44.13656256656007,0.04,INR,AoP,CL35,INE000031H,Matched,2024-02-20,2024-02-20,0
T00014,Sell,Bond,3576913.197446796,4011,CP189,0.610182993430352,8,Success,,51.26006933982253,0.22553546817233722,0.015494941545254574,58,0,53.26006933982253,0.08,GBP,FoP,CL258,INE000029E,Matched,2024-09-16,2024-09-16,0
T00015,Sell,Bond,114107.9225434268,8969,CP444,0.47874890483504995,9,Success,,58.24324367863794,0.1912013312578285,0.08407997353854219,49,0,61.24324367863794,0.09,USD,AoP,CL24,INE0000035,Matched,2024-03-10,2024-03-10,0
T00016,Buy,Bond,2201330.6046032687,2275,CP92,0.006309824221983229,6,Success,,49.27258845817993,0.31115718641453693,0.09235261514673085,1,0,51.27258845817993,0.06,EUR,AoP,CL55,INE000011B,Matched,2024-02-18,2024-02-18,0
