Trade ID,Trade Type,Instrument Type,Trade Value,Trade Volume,Counterparty ID,Counterparty Risk Score,Counterparty Failures,Settlement Status,Settlement Failure Reason,Settlement Duration,Market Volatility,Liquidity,Processing Time,Manual Intervention,Time to Settle,Counterparty Failure Rate,Currency,Settlement Type,Client ID,ISIN,Trade Matched or Not,Expected Settlement Date,Actual Settlement Date,Days Difference
T00001,Buy,Equity,940394.0653402072,21276,CP4,0.4082816529384966,0,Fail,Market Closure,53.47950191096592,0.1935310318734621,0.0146143017314787,16,0,54.47950191096592,0.0,EUR,FoP,CL26,INE0000432,Matched,2024-06-10,2024-06-15,5
T00002,Sell,Bond,911660.4660416772,93961,CP48,0.9305759029898388,9,Fail,Insufficient Funds at the Counterparty,62.97982175869968,0.266989130212416,0.0243681392857739,38,0,60.97982175869968,0.09,INR,FoP,CL20,INE000006Z,Not Matched,2024-03-04,2024-03-07,3
T00003,Buy,Equity,131747.02243712076,54387,CP48,0.9305759029898388,9,Fail,Technical Error,39.89050318765664,0.6504929415761043,0.0886785397224854,24,1,42.89050318765664,0.09,EUR,FoP,CL14,INE000037F,Matched,2024-03-20,2024-03-22,2
T00004,Buy,Bond,1202537.3530547789,80508,CP49,0.6546585821204131,0,Success,NONE,53.71499967500953,0.2262640167640344,0.0285218808964419,31,0,50.71499967500953,0.0,INR,AoP,CL11,INE000009S,Matched,2024-12-02,2024-12-02,0
T00005,Buy,Derivative,163064.21182042075,65986,CP44,0.7940729484186608,3,Success,NONE,28.95016752923056,0.6440461703061,0.0520337864144322,28,1,25.95016752923056,0.03,EUR,AoP,CL42,INE000002E,Matched,2024-04-18,2024-04-18,0
T00006,Sell,Bond,430880.0400147629,80644,CP34,0.7833067738213634,9,Fail,Client Short to Deliver,30.34369040289218,0.4979282208392875,0.0700726767398316,19,1,34.34369040289218,0.09,JPY,FoP,CL25,INE000023Y,Not Matched,2024-02-01,2024-02-02,1
T00007,Buy,Derivative,87717.8620330416,34196,CP30,0.4733665008272618,1,Success,NONE,45.630520990709,0.4016636131989048,0.0969280993365331,50,0,45.630520990709,0.01,EUR,AoP,CL4,INE000015P,Matched,2024-09-13,2024-09-13,0
T00008,Buy,Equity,369731.2400083546,64169,CP10,0.2154923503961088,2,Fail,Market Closure,42.2133331637333,0.2043695915349521,0.0112683248940116,33,0,43.2133331637333,0.02,INR,FoP,CL30,INE000034S,Matched,2024-11-10,2024-11-11,1
T00009,Buy,Equity,162172.12202862705,68132,CP6,0.9815946822364658,9,Fail,Technical Error,58.47339776565205,0.5041602371944013,0.0538824366998288,2,1,59.47339776565205,0.09,GBP,AoP,CL17,INE000011Z,Matched,2024-08-25,2024-08-28,3
T00010,Sell,Derivative,282417.80749790283,51429,CP12,0.5831906535030135,8,Fail,Technical Error,59.78343993752792,0.6318383866826416,0.09964286563031,35,0,62.78343993752792,0.08,USD,FoP,CL21,INE0000260,Matched,2024-06-18,2024-06-23,5
T00011,Buy,Derivative,469728.637387284,71302,CP12,0.5831906535030135,8,Success,NONE,60.83631793503312,0.1958685113033857,0.0209549820813324,50,0,60.83631793503312,0.08,USD,FoP,CL2,INE000034S,Matched,2024-11-16,2024-11-16,0
T00012,Buy,Derivative,1011783.1294216234,57588,CP49,0.6546585821204131,0,Success,NONE,53.9789109911875,0.1037075502281143,0.0211345273232397,54,0,57.9789109911875,0.0,USD,FoP,CL15,INE0000432,Matched,2024-08-08,2024-08-08,0
T00013,Buy,Equity,977646.5341761556,44269,CP18,0.8297244985304884,0,Success,NONE,54.410094770282846,0.5440366795368429,0.0178338084087276,45,0,49.410094770282846,0.0,INR,FoP,CL31,INE000020B,Matched,2024-02-11,2024-02-11,0
