Trade Value,Trade Volume,Counterparty ID,Counterparty Risk Score,Counterparty Failures,Market Volatility,Liquidity,Manual Intervention,Counterparty Failure Rate,Client ID,Trade Type_Sell,Instrument Type_Derivative,Instrument Type_Equity,Settlement Status_Success,Currency_GBP,Currency_INR,Currency_JPY,Currency_USD,Settlement Type_FoP,ISIN_INE000001N,ISIN_INE000002R,ISIN_INE000003U,ISIN_INE000004E,ISIN_INE000005F,ISIN_INE0000062,ISIN_INE0000077,ISIN_INE000008A,ISIN_INE000009Z,ISIN_INE000010T,ISIN_INE000011H,ISIN_INE000012L,ISIN_INE0000131,ISIN_INE000014X,ISIN_INE000015I,ISIN_INE000016C,ISIN_INE0000176,ISIN_INE000018D,ISIN_INE000019H,ISIN_INE0000201,ISIN_INE000021M,ISIN_INE000022P,ISIN_INE000023W,ISIN_INE000024D,ISIN_INE000025H,ISIN_INE000026S,ISIN_INE0000276,ISIN_INE000028L,ISIN_INE000029O,ISIN_INE000030F,ISIN_INE000031G,ISIN_INE0000324,ISIN_INE000033Q,ISIN_INE000034W,ISIN_INE000035W,ISIN_INE0000367,ISIN_INE000037C,ISIN_INE0000385,ISIN_INE000039C,ISIN_INE000040F,ISIN_INE000041Y,ISIN_INE000042J,ISIN_INE000043S,ISIN_INE000044J,ISIN_INE000045O,ISIN_INE0000461,ISIN_INE000047I,ISIN_INE0000487,ISIN_INE000049X,Trade Matched or Not_Not Matched
611787.9232924787,94974,15,0.1970856464850323,2,0.5016077328758262,0.03609233005178,0,0.02,24,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730726.2451398026,16986,8,0.4580355543297814,2,0.3819056092747507,0.010163115410843,0,0.02,43,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131780.4436176892,92472,29,0.802379629296882,7,0.6650027132361085,0.0716593539402109,0,0.07,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324399.58060359297,21069,42,0.9145745363262048,2,0.1956180832426846,0.0685424875384786,0,0.02,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539238.0533962906,13532,39,0.1536350828944443,9,0.3571940980611053,0.0984845991940863,0,0.09,36,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168411.3745387861,34289,35,0.379101906166488,5,0.1747802871418731,0.07473224929667,0,0.05,32,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
225523.2745409368,91018,41,0.4525900255395507,9,0.4468836051761135,0.039943549734065,0,0.09,4,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
355792.61301670125,91763,48,0.63949267500548,2,0.3417395148028464,0.0957355796618567,0,0.02,20,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373683.8289644197,66654,14,0.7444040838251119,2,0.1365623394906499,0.0428811219336131,0,0.02,25,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549411.3915139503,98198,32,0.0880240291902269,9,0.6099028658600518,0.0839120217316837,0,0.09,21,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
