Trade ID,Trade Type,Instrument Type,Trade Value,Trade Volume,Counterparty ID,Counterparty Risk Score,Counterparty Failures,Settlement Status,Settlement Failure Reason,Settlement Duration,Market Volatility,Liquidity,Processing Time,Manual Intervention,Time to Settle,Counterparty Failure Rate,Currency,Settlement Type,Client ID,ISIN,Trade Matched or Not,Expected Settlement Date,Actual Settlement Date,Days Difference
T00001,Buy,Equity,171219.94584520187,3256,CP108,0.01829593207325475,2,Success,,38.993200860244,0.22570990518163372,0.03123971894417462,31,0,35.993200860244,0.02,USD,AoP,CL260,INE000062D,Matched,2024-06-06,2024-06-06,0
T00002,Sell,Bond,1043789.7392100577,9626,CP192,0.24870307215020682,2,Success,,67.12489733187215,0.19872400511676727,0.032573001850174435,17,1,65.12489733187215,0.02,USD,AoP,CL221,INE000042U,Matched,2024-08-06,2024-08-06,0
T00003,Buy,Derivative,2320634.873295552,9868,CP474,0.6401055001811825,1,Success,,56.51546022152842,0.3935843738188677,0.07387484969432817,25,0,53.51546022152842,0.01,JPY,AoP,CL15,INE000031V,Matched,2024-11-07,2024-11-07,0
T00004,Buy,Derivative,490025.59409845615,187,CP205,0.5421023284182871,4,Success,,36.62714917338061,0.46639567129904036,0.020564793200909218,37,1,39.62714917338061,0.04,EUR,FoP,CL36,INE000052D,Matched,2024-10-27,2024-10-27,0
T00005,Buy,Derivative,1460759.127162264,8275,CP61,0.05638249780448268,1,Success,,48.762670140809036,0.46551937675807264,0.07574183675231246,36,0,50.762670140809036,0.01,GBP,AoP,CL34,INE000060S,Matched,2024-11-28,2024-11-28,0
T00006,Sell,Derivative,1250627.524202493,9691,CP265,0.389816797543761,7,Success,,56.68288218372108,0.4167189423271981,0.018493248765897134,30,0,57.68288218372108,0.07,EUR,FoP,CL22,INE0000275,Matched,2024-05-17,2024-05-17,0
T00007,Buy,Bond,346816.85536032775,6465,CP223,0.38254146746847284,5,Success,,54.18098952391415,0.14674367198578775,0.026152474001092052,44,1,52.18098952391415,0.05,GBP,AoP,CL133,INE000077W,Matched,2024-12-20,2024-12-20,0
T00008,Buy,Derivative,393335.87037556304,1256,CP448,0.6287981118540544,7,Success,,62.96311334093734,0.34978205410875607,0.09356515353071407,15,0,64.96311334093734,0.07,JPY,FoP,CL123,INE000022O,Matched,2024-11-02,2024-11-02,0
T00009,Buy,Equity,492277.3528740076,3046,CP334,0.1362465966696822,5,Success,,38.59114841060689,0.12247774733929924,0.01958040125501044,37,1,39.59114841060689,0.05,JPY,FoP,CL33,INE000078H,Matched,2024-10-04,2024-10-04,0
T00010,Sell,Equity,384792.21428341913,2016,CP213,0.8051196598703275,7,Success,,58.50926919069821,0.22999114343928323,0.02896840405358001,15,0,59.50926919069821,0.07,EUR,FoP,CL28,INE0000568,Matched,2024-06-24,2024-06-24,0
T00011,Buy,Bond,132370.43085262502,2727,CP406,0.5191531580191582,1,Success,,51.556214882809094,0.21911918045299617,0.010424060371885861,16,0,55.556214882809094,0.01,INR,FoP,CL136,INE000054A,Matched,2024-03-23,2024-03-23,0
T00012,Sell,Bond,250491.7314702119,1687,CP124,0.10455540687481846,5,Success,,54.732579122664504,0.3483917870585558,0.02544901169196595,4,0,55.732579122664504,0.05,JPY,AoP,CL119,INE000092C,Matched,2024-09-22,2024-09-22,0
T00013,Sell,Equity,632914.8215874993,3936,CP413,0.24810413766027573,0,Fail,Client Instruction Missing,44.889898065652105,0.2481821247595021,0.09908119507679532,53,0,48.889898065652105,0.0,USD,AoP,CL237,INE0000301,Matched,2024-05-26,2024-05-31,5
T00014,Buy,Equity,231234.7104756132,7070,CP420,0.6901621560230764,0,Success,,46.35527298733116,0.26421906131789524,0.052563850454468077,42,0,42.35527298733116,0.0,EUR,FoP,CL298,INE000060S,Matched,2024-12-04,2024-12-04,0
T00015,Sell,Equity,103526.19880616936,1212,CP481,0.4487195622871303,9,Success,,44.77333094985892,0.1662709418657215,0.0540809372443625,27,1,42.77333094985892,0.09,GBP,FoP,CL295,INE000086N,Matched,2024-05-28,2024-05-28,0
