Trade ID,Trade Type,Instrument Type,Trade Value,Trade Volume,Counterparty ID,Counterparty Risk Score,Counterparty Failures,Settlement Status,Settlement Failure Reason,Settlement Duration,Market Volatility,Liquidity,Processing Time,Manual Intervention,Time to Settle,Counterparty Failure Rate,Currency,Settlement Type,Client ID,ISIN,Trade Matched or Not,Expected Settlement Date,Actual Settlement Date,Days Difference
T00001,Buy,Equity,171219.94584520187,3256,CP108,0.0182959320732547,2,Success,NONE,38.993200860244,0.2257099051816337,0.0312397189441746,31,0,35.993200860244,0.02,USD,AoP,CL260,INE000062D,Matched,2024-06-06,2024-06-06,0
T00002,Sell,Bond,1043789.7392100577,9626,CP192,0.2487030721502068,2,Success,NONE,67.12489733187215,0.1987240051167672,0.0325730018501744,17,1,65.12489733187215,0.02,USD,AoP,CL221,INE000042U,Matched,2024-08-06,2024-08-06,0
T00003,Buy,Derivative,2320634.873295552,9868,CP474,0.6401055001811825,1,Success,NONE,56.51546022152842,0.3935843738188677,0.0738748496943281,25,0,53.51546022152842,0.01,JPY,AoP,CL15,INE000031V,Matched,2024-11-07,2024-11-07,0
T00004,Buy,Derivative,490025.59409845615,187,CP205,0.5421023284182871,4,Success,NONE,36.62714917338061,0.4663956712990403,0.0205647932009092,37,1,39.62714917338061,0.04,EUR,FoP,CL36,INE000052D,Matched,2024-10-27,2024-10-27,0
T00005,Buy,Derivative,1460759.127162264,8275,CP61,0.0563824978044826,1,Success,NONE,48.76267014080904,0.4655193767580726,0.0757418367523124,36,0,50.76267014080904,0.01,GBP,AoP,CL34,INE000060S,Matched,2024-11-28,2024-11-28,0
T00006,Sell,Derivative,1250627.524202493,9691,CP265,0.389816797543761,7,Success,NONE,56.68288218372108,0.4167189423271981,0.0184932487658971,30,0,57.68288218372108,0.07,EUR,FoP,CL22,INE0000275,Matched,2024-05-17,2024-05-17,0
T00007,Buy,Bond,346816.8553603277,6465,CP223,0.3825414674684728,5,Success,NONE,54.18098952391415,0.1467436719857877,0.026152474001092,44,1,52.18098952391415,0.05,GBP,AoP,CL133,INE000077W,Matched,2024-12-20,2024-12-20,0
T00008,Buy,Derivative,393335.87037556304,1256,CP448,0.6287981118540544,7,Success,NONE,62.96311334093734,0.349782054108756,0.093565153530714,15,0,64.96311334093734,0.07,JPY,FoP,CL123,INE000022O,Matched,2024-11-02,2024-11-02,0
T00009,Buy,Equity,492277.3528740076,3046,CP334,0.1362465966696822,5,Success,NONE,38.59114841060689,0.1224777473392992,0.0195804012550104,37,1,39.59114841060689,0.05,JPY,FoP,CL33,INE000078H,Matched,2024-10-04,2024-10-04,0
T00010,Sell,Equity,384792.21428341913,2016,CP213,0.8051196598703275,7,Success,NONE,58.50926919069821,0.2299911434392832,0.02896840405358,15,0,59.50926919069821,0.07,EUR,FoP,CL28,INE0000568,Matched,2024-06-24,2024-06-24,0
