Trade Value,Trade Volume,Counterparty ID,Counterparty Risk Score,Counterparty Failures,Market Volatility,Liquidity,Manual Intervention,Counterparty Failure Rate,Client ID,Trade Type_Sell,Instrument Type_Derivative,Instrument Type_Equity,Settlement Status_Success,Currency_GBP,Currency_INR,Currency_JPY,Currency_USD,Settlement Type_FoP,ISIN_INE0000014,ISIN_INE000002E,ISIN_INE0000032,ISIN_INE000004J,ISIN_INE0000051,ISIN_INE000006Z,ISIN_INE0000071,ISIN_INE000008Y,ISIN_INE000009S,ISIN_INE0000107,ISIN_INE000011Z,ISIN_INE0000124,ISIN_INE000013O,ISIN_INE000014L,ISIN_INE000015P,ISIN_INE000016P,ISIN_INE000017R,ISIN_INE0000189,ISIN_INE000019P,ISIN_INE000020B,ISIN_INE000021E,ISIN_INE000022Z,ISIN_INE000023Y,ISIN_INE000024W,ISIN_INE0000251,ISIN_INE0000260,ISIN_INE0000272,ISIN_INE000028Z,ISIN_INE000029O,ISIN_INE000030B,ISIN_INE000031V,ISIN_INE000032R,ISIN_INE0000330,ISIN_INE000034S,ISIN_INE000035W,ISIN_INE0000367,ISIN_INE000037F,ISIN_INE000038N,ISIN_INE000039A,ISIN_INE0000402,ISIN_INE0000419,ISIN_INE000042K,ISIN_INE0000432,ISIN_INE0000440,ISIN_INE000045U,ISIN_INE000046I,ISIN_INE0000472,ISIN_INE0000487,ISIN_INE000049P,Trade Matched or Not_Not Matched
940394.0653402072,21276,4,0.4082816529384966,0,0.1935310318734621,0.0146143017314787,0,0.0,26,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
911660.4660416772,93961,48,0.9305759029898388,9,0.266989130212416,0.0243681392857739,0,0.09,20,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131747.02243712076,54387,48,0.9305759029898388,9,0.6504929415761043,0.0886785397224854,1,0.09,14,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1202537.3530547789,80508,49,0.6546585821204131,0,0.2262640167640344,0.0285218808964419,0,0.0,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163064.21182042075,65986,44,0.7940729484186608,3,0.6440461703061,0.0520337864144322,1,0.03,42,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430880.0400147629,80644,34,0.7833067738213634,9,0.4979282208392875,0.0700726767398316,1,0.09,25,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87717.8620330416,34196,30,0.4733665008272618,1,0.4016636131989048,0.0969280993365331,0,0.01,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369731.2400083546,64169,10,0.2154923503961088,2,0.2043695915349521,0.0112683248940116,0,0.02,30,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162172.12202862705,68132,6,0.9815946822364658,9,0.5041602371944013,0.0538824366998288,1,0.09,17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282417.80749790283,51429,12,0.5831906535030135,8,0.6318383866826416,0.09964286563031,0,0.08,21,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469728.637387284,71302,12,0.5831906535030135,8,0.1958685113033857,0.0209549820813324,0,0.08,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011783.1294216234,57588,49,0.6546585821204131,0,0.1037075502281143,0.0211345273232397,0,0.0,15,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
977646.5341761556,44269,18,0.8297244985304884,0,0.5440366795368429,0.0178338084087276,0,0.0,31,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42732.01622489211,74674,36,0.9712039091461504,2,0.4602764625973787,0.0557059633553213,0,0.02,35,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871802.5756041575,79808,35,0.743150447472931,9,0.4018524605715432,0.0413570077720503,0,0.09,35,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543767.1525705876,82947,25,0.3385906728657937,0,0.3736275325259416,0.0744628650741744,0,0.0,12,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252659.32218379853,75252,49,0.6546585821204131,0,0.3985578784437962,0.0614166997380103,1,0.0,24,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
183430.7878528394,69229,41,0.9143115469951152,6,0.3247499060239611,0.0622755996482312,0,0.06,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415638.787396295,68586,22,0.4771982757645316,1,0.1493990359001929,0.0559953164792547,1,0.01,42,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557154.588939582,93434,30,0.4733665008272618,1,0.5654343768753068,0.0992858413941026,1,0.01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645565.710733892,55299,44,0.7940729484186608,3,0.380700346850257,0.0585144135154775,0,0.03,23,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363200.3578141586,93419,29,0.1920403943911035,7,0.5949726135730927,0.0165126724303578,1,0.07,4,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35446.44765262195,89505,7,0.1239867826904168,8,0.6893324483687558,0.0389975174299534,1,0.08,7,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
269600.56599244365,39867,48,0.9305759029898388,9,0.2030500327246926,0.0802609651704942,0,0.09,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
